YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2022-W44,IT,1307406.0,,,19,,8,388,4044,187,0,0,0,ITC3,ALL,COMBA.1,59030133
2022-W44,IT,1307406.0,,,16,,11,23,2,1,0,0,0,ITC3,ALL,COM,59030133
2022-W44,IT,1024661.0,,,0,,0,2,28,0,0,0,0,ITH4,ALL,MODBA.1,59030133
2022-W44,IT,1024661.0,,,18,,5,398,4008,377,0,0,0,ITH4,ALL,COMBA.4-5,59030133
2022-W44,IT,1024661.0,,,0,,0,0,4,0,0,0,0,ITH4,ALL,COMBA.1,59030133
2022-W44,IT,1024661.0,,,3,,1,0,1,0,0,0,0,ITH4,ALL,COM,59030133
2022-W44,IT,4094677.0,,,0,,0,12,155,0,0,0,0,ITH3,ALL,MODBA.1,59030133
2022-W44,IT,4094677.0,,,38,,18,1681,14958,1011,0,0,0,ITH3,ALL,COMBA.4-5,59030133
2022-W44,IT,4094677.0,,,8,,1,226,1572,70,0,0,0,ITH3,ALL,COMBA.1,59030133
2022-W44,IT,4094677.0,,,24,,24,7,18,0,0,0,0,ITH3,ALL,COM,59030133
2022-W44,IT,449838.0,,,6,,1,110,1004,52,0,0,0,ITH2,ALL,COMBA.4-5,59030133
2022-W44,IT,449838.0,,,6,,8,119,983,94,0,0,0,ITH2,ALL,COMBA.1,59030133
2022-W44,IT,449838.0,,,2,,2,0,1,0,0,0,0,ITH2,ALL,COM,59030133
2022-W44,IT,432409.0,,,0,,0,0,1,0,0,0,0,ITH1,ALL,MOD,59030133
2022-W44,IT,432409.0,,,6,,4,162,1740,213,0,0,0,ITH1,ALL,COMBA.4-5,59030133
2022-W44,IT,432409.0,,,0,,0,1,9,0,0,0,0,ITH1,ALL,COMBA.1,59030133
2022-W44,IT,432409.0,,,3,,3,11,36,8,0,0,0,ITH1,ALL,COM,59030133
2022-W44,IT,8349264.0,,,0,,13,3267,56051,4715,0,0,0,ITC4,ALL,COMBA.4-5,59030133
2022-W44,IT,8349264.0,,,0,,0,19,354,27,0,0,0,ITC4,ALL,COMBA.1,59030133
2022-W44,IT,8349264.0,,,72,,79,7,12,0,0,0,0,ITC4,ALL,COM,59030133
2022-W19,IT,49811219.0,0.0,,114,,331,9,1,0,0,0,0,IT,ALL,NVXD,59030133
2022-W19,IT,49811219.0,0.0,,0,,0,0,2,0,0,0,0,IT,ALL,COMBA.1,59030133
2022-W19,IT,49811219.0,137.0,,1491,,3935,41353,133214,9,0,0,0,IT,ALL,COM,59030133
2022-W20,IT,1377717.0,,,0,,3,8,5,0,0,0,0,ITG2,ALL,MOD,59030133
2022-W20,IT,1377717.0,,,0,,1,0,0,0,0,0,0,ITG2,ALL,NVXD,59030133
2022-W20,IT,1377717.0,,,14,,45,844,1936,0,0,0,0,ITG2,ALL,COM,59030133
2022-W20,IT,4030695.0,,,9,,81,585,541,0,0,0,0,ITG1,ALL,MOD,59030133
2022-W20,IT,4030695.0,,,7,,16,0,0,0,0,0,0,ITG1,ALL,NVXD,59030133
2022-W20,IT,4030695.0,,,114,,424,2805,3626,1,0,0,0,ITG1,ALL,COM,59030133
2022-W20,IT,1558662.0,,,1,,27,159,161,0,0,0,0,ITF6,ALL,MOD,59030133
2022-W20,IT,1558662.0,,,0,,1,0,0,0,0,0,0,ITF6,ALL,NVXD,59030133
2022-W20,IT,1558662.0,,,22,,137,866,1264,2,0,0,0,ITF6,ALL,COM,59030133
2022-W20,IT,463918.0,,,17,,6,36,72,0,0,0,0,ITF5,ALL,MOD,59030133
2022-W20,IT,463918.0,,,3,,2,0,0,0,0,0,0,ITF5,ALL,NVXD,59030133
2022-W20,IT,463918.0,,,12,,24,227,645,0,0,0,0,ITF5,ALL,COM,59030133
2022-W20,IT,3312433.0,,,13,,44,335,281,0,0,0,0,ITF4,ALL,MOD,59030133
2022-W20,IT,3312433.0,,,0,,5,0,0,0,0,0,0,ITF4,ALL,NVXD,59030133
2022-W20,IT,3312433.0,,,44,,230,1791,6941,0,0,0,0,ITF4,ALL,COM,59030133
2022-W20,IT,4645744.0,,,21,,115,808,795,0,0,0,0,ITF3,ALL,MOD,59030133
2022-W20,IT,4645744.0,,,4,,11,0,0,0,0,0,0,ITF3,ALL,NVXD,59030133
2022-W20,IT,4645744.0,,,112,,359,2497,7051,0,0,0,0,ITF3,ALL,COM,59030133
2022-W20,IT,252530.0,,,0,,1,6,24,0,0,0,0,ITF2,ALL,MOD,59030133
2022-W20,IT,252530.0,,,13,,15,127,510,0,0,0,0,ITF2,ALL,COM,59030133
2022-W20,IT,1087183.0,,,4,,13,162,345,1,0,0,0,ITF1,ALL,MOD,59030133
2022-W20,IT,1087183.0,,,2,,2,0,0,0,0,0,0,ITF1,ALL,NVXD,59030133
2022-W20,IT,1087183.0,,,32,,64,645,1402,0,0,0,0,ITF1,ALL,COM,59030133
2022-W20,IT,4815838.0,,,27,,125,1546,2805,0,0,0,0,ITI4,ALL,MOD,59030133
2022-W20,IT,4815838.0,,,8,,16,0,0,0,0,0,0,ITI4,ALL,NVXD,59030133
2022-W20,IT,4815838.0,,,115,,262,2240,8284,0,0,0,0,ITI4,ALL,COM,59030133
2022-W20,IT,1266109.0,,,5,,25,201,446,0,0,0,0,ITI3,ALL,MOD,59030133
2022-W20,IT,1266109.0,,,3,,17,3,0,0,0,0,0,ITI3,ALL,NVXD,59030133
2022-W20,IT,1266109.0,,,18,,65,557,1596,0,0,0,0,ITI3,ALL,COM,59030133
2022-W20,IT,732500.0,,,0,,3,1,22,0,0,0,0,ITI2,ALL,MOD,59030133
2022-W20,IT,732500.0,,,3,,6,0,0,0,0,0,0,ITI2,ALL,NVXD,59030133
2022-W20,IT,732500.0,,,18,,57,456,1722,1,0,0,0,ITI2,ALL,COM,59030133
2022-W20,IT,3127488.0,,,3,,4,113,43,0,0,0,0,ITI1,ALL,MOD,59030133
2022-W20,IT,3127488.0,,,5,,16,5,0,0,0,0,0,ITI1,ALL,NVXD,59030133
